"entity_name","full_zapper_link"
"degendev","https://zapper.xyz/bundle/0xbc67290849b583fc27a589e828dbee584845eb22,0x15a24d5d19caef1a33f0740b3c21c941655a20ae,0x19f9815c4b3a920f17a20cdc743a0c910c7bca21,0xf82b9068ba44e1b91080351b8432e64094ae3cbc,0xd4c9c291d5524088db2c5370466672c11c5e224c,0x90569d3d7edd60555e4fcba354f3cc9389b8ec67,EXQmrLww22RjkrnJfQbKjxBCLDhEWVvuAgQ5ib3tbzEu?id=0x178f77798ac348cb260b687fecdd5bdc217adc7e&label=Degendev&icon=%F0%9F%8E%A9&tab=wallet"
"Blockchain Brah","https://zapper.xyz/bundle/0x483cbcca46bfcc92e6e0226bcf201a74137a2ae7,0x32fb3402b683609396d803c51fad73f5f6edd113,EsipyPJFqbesjTgcvCWEi5gwDZZjAmnCvUjrQNTWbyKY,EinunBvYJT46EWsTVMswMqpZyJJULr9ocznqTM8k14PC,0xe244f30bd6f14d43918719690333553a9126d3ce?id=0xa038f6c0d6dc28302ec3a6eab3ade250ee7bc549&label=Blockchain%20Brah&icon=%F0%9F%91%80&tab=wallet"
"Pool2Paulie","https://zapper.xyz/bundle/0xe41c1f350f960e68aca30d552c1fbc387814508e,0x35690befc402140e93b49b678655554d534ffbc0,0x4590cf786dc97c2a26400aad92ce82ff5d028003,0x50415b9d886892be314f5cbaf600c3a4b625cbe5,0x53c19b333d98b31b529edbc0756b71d3fe168987,0x7c54ab40747deeb43eb9163c99bfc048e9dafc24,0x0d74893e945bdd6ed2c6936f41ae8769e719adb1,0x772cc62fdd71846cdb9ffedf261e83164fbbe0f5?id=0x09212de2c2247909b3c8c3b3ffc69b8a42ff574e&label=Pool2Paulie&icon=%F0%9F%90%BB&tab=wallet"
"Watchandlearn (@princebtc28)","https://zapper.xyz/bundle/0xcd74d3786c5ce01266cb787292cd8eda215834a3,0xb82b04f420d4bc501512013133ac7f2aca64a064,B8y9cvQbz3oBiuPX6h33WVovd3qvKmqWMu9Uy86sHQkk,0x9219759da600c65f508f76999b5d9fe1a6b91f3e?id=0xd6adeed7c9e7a6678a1d0474beca69280b9d61f5&label=Watchandlearn&icon=%F0%9F%98%83&tab=wallet"
"Tux | DCDAO","https://zapper.xyz/bundle/0x8e29d0e2ca8e92a9f27192616e2e9f170fd2a035,0x02802e1ae8da338c8a5d220d857d27c49fa86a81,0x5f1a50292986b4b8bc403b07b9ce2eac220c9ef6,0xf08a380ae760f896db6b24d12edf03d77bbdcd52,0xaa79dab30109d72a880eb61127bb176f45a027b0,0x7c6facb53d40d3bbc87965d411e86843520b7e90,J1ZoDuhi2S1GweyJuekU9JEJeFham248FAVZJWamTz6F,HTn7WXL3MdffjDkRSgDcaCY8h4MncLW8WZaXMVaqYQgS?id=0x2c895b06a903dcaa003fc3c98ed39e979b1bea77&label=tux&icon=%E2%9C%8C%EF%B8%8F&tab=wallet"
"DegenDuck","https://zapper.xyz/bundle/0x21c4c4c559687d9a4373dc533f9a80e54e26c770,0x015c4b3d7f8ac29cdcdf012aff3f74f42cf80d27,0x962ad4a1276d2f985f8afabd3da59bd32e5c36f2,0x2bf39a1004ff433938a5f933a44b8dad377937f6,0x7ae3f1c000267cdcffa98c72b957b947a1dac9b6,9ujdbQAauYTRTMRFsHwcchALdLzncAbyX7JZWCTfYDRN,HVz4GQE4tS1k7hgVTCzFgPDmLmTzzRQMfuEhdfoZpfj4?id=0xab7d76712d9e8e7a64798e933f66c0f2ea20bd01&label=DegenDuck&icon=%F0%9F%8D%94&tab=wallet"
"CryptoEthan","https://zapper.xyz/bundle/0xbeab3340ddbcd0d8aebcb2bad8704601458124f6,0x405f5a2b9e5fec03d16d5ce074cd22a05b256ebf,3SdVtYPdnQw2b8WSE2T1VeexAqkDjbTyeSZ8Pzs6bgou,0xa38747075ee46e51abdeb96e699fe60efe19b933?id=0xbd6b24796044fe032cd6fe384f8d2510377ce287&label=CryptoEthan&icon=%F0%9F%8E%A9&tab=wallet"
"0xDQ","https://zapper.xyz/bundle/0xaa8fc25fda37281f07ebb013030ad5070597e54d,0x976babd291f15f457075bb37c9a976032c44982d,0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,0xf6e6c83ee7db137ed8dadd5d7bbc6b38220a6602,0xece5efd1d6306baf588e6c35dd20751d62394a50,BCRYxXpJYbtjLZe5ED2qYuhXwxdtinmmz1qXWr9So1oM?id=0x97877125ba83bde0d355fda19e67d83715ff80e5&label=0xDQ%20&icon=%F0%9F%90%B6&tab=wallet"
"rb3k | Sailboat Cabal 1st","https://zapper.xyz/bundle/0x7bcdd68e9fad8700e0f7544ec115d5bc58db0b13,0xa0259fb25632f65a71d8c6c183e3132ae9fa4e9f,0x95b5f0191283d305ae966337b05db52b95d85c6a,0x1b29490def3eaf89f070935ad5089a8e903bcef8,0x3c02ae1e10236166158dc9a9a79d7e8a5e093267,0xc7b42054e8a58418f2f1166abb5d50a9672d75b1,0x6eba577bfa7e328373391c0b9d0ae070224b97af,0x3afeffb411bebb8852f542123ab2c6ce5cc95968,0x50617ebd1933ed99ca5f0883cbdd9fe84c48b6a6,0xfd7f6dcfcf3c57bf2ad7b0ccd885aa907ea7ca4b,0xa0864905dfd72a41404353621e5d8581bd7724a5,0xea85395b62adc11123d5f00225ea93d1c57a6a49,0x8f4b825194e51baffa46b71f87b26416dbac9eb1,0x4333ddcd68d64059342ff11ead841f744ce5f14f,0x4f1dbdf722eb8e861504ea5ee421313c3dd30746,0x0324ba419995fc5be181f1bda5143e769e72a0bd,0xc74fbd435621a1607fd5031d821cfd00b0ae1429,0xd81651dd40455da3106b599d8c68d4178af0c7ed,0x304b96bb03fefed9db8e819a958124ae29887d46,0x7ff37decf0b82f9bbab73d9a913e76ce7ce7535d?id=0xd37e2d412b2df5dab10555d4b904ca6f09b42534&label=rbthreek%20%3Anerd%3A%20%7C%20Sailboat%20Cabal%201st&color=&tab=wallet"
"McSleuth 🤓","https://zapper.xyz/bundle/0xdbe13cc5a54626bd43010492879a863bbeac0bc8,0x0b233be281f6baa5a6c14e3463b4e4c3752b744d,0x2523b6fd934ee0ab5fa617b0d6fdd6fa2cd9fa5e,0xf5c01939846fcc10bf277c8189d9dc498a541acc?id=0xa97d5af50c788e6078d7c9839f3a591dd2df4408&label=McSleuth&color=&tab=wallet"
"Dogoshii","https://zapper.xyz/bundle/0x19a788f8e13de3f5e4c87f3faaa7d30f2eaa20b5,0x3856f28704585812bbb172e512bdb3e009376631,0x213f6b2680dce3e4d0924acff3e4e34520ef9ba1,NVYX2HaGf6Pc5moSadV5jVeortWPjYw4smPhEB4sCuj,CUsUzbVnmoVcNRW6XDcP6KeZDjfdmMKyyMMLeBh1Rcks,5UD1VhcYtiQxvsYp3hjiQVf8sgsEuAut7Fb7QK6xkxua,pgUUG1a76oLGex9CLfDR9wTpYKk3gwm2KuSzCpygggD,F4xveq9jHiznb1Swy13AdgQBBZfNb6YcZiF1xJMSxKvW?id=0x871efa05afcfaec72b033d98813260f27cd7227e&label=Dogoshii&icon=%F0%9F%92%8E&tab=wallet"
"Kamino Crypto","https://zapper.xyz/bundle/0xd1eabe36610f4050b14a663055b760aa85e5ce65,0x86aa8896b3e93159dbb56882166aca14a1ba6738,0x883a83d8e3b57818b36dcda164857d96d63f9105,B5Wwr2a4YWAQafbji3XoxLtR8Hyw1XrTVHiY8XzYHCsb?id=0x8418fea4e6c5761501251ba86c53ee19d3992b89&label=Kamino&color=&tab=wallet"
"0xyd","https://zapper.xyz/bundle/0xcb52f68714c5a09a4c36e9a73647270c504499f7,0x432380b602faf6b9cb40ad89691771b0bf18f908,0x14a1c78f83c7e2ee798480ee22752543fa1dfc67,0xd9c3415bf8600f007a1b4199df967c25a3e00eea,0x22f75714ce2d043036754a7d645e1be1afd43538,0xcbbd4d9848ff74fd57403de6e24d64779a714155?id=0x0860e3164e042499386cdb29eb2ce1a1c9673bb0&label=0xyd&icon=%E2%9C%A8&tab=wallet"
"CryptoKaduna","https://zapper.xyz/bundle/0xa1207884bf354d60530aa3c43e2f6122aaa6899f,0xb5dd7f728d4c0061e72802672f8a6a0c8768a975,0xb235b9bd19b929d881c1d3fda561eeeb140469c8,0xf53ee93a774aa44ecb195c206af4b9c94e7e5be5,0xa307ec71897336a35d3c3d85c1511cd5139eeba0,0xdff09dfc5cdc2cc26e13a157d83b319e70b0868c,0x9c64841129b96983315574d3ff92ccfeb3be0e58,0xfe98dcc166bf7226a9b3972806a14d0575334754,0x4ad237c40727a32ba9cd762ec241eb73b59740c7,0x7f116d23d5090a09102322bb7f6e37904f1443c2,0x48f2d667bd70b8f895dee9d28ec53ca0e8363370,0x19294ad91295854e8d54ec17c42b10bca7f940e3,0xa082ab6390736c77c305968defa7313cbb0a3b31,BTWdJQ4h9NiQPY11RMn2rQ8E3NZLKqjNPYSACcHu7kmr,39xGf1UKra9jp5EwMCZC1NHdJ7XRyPtjXD1rrjAJpiTF,ForQYxfhLMv3ieCWQYxMWwACZZTp16rBUe3r8cwRLnB5,5YTWZRFNVJ5ZpfnWNcq8NSUESMwQACAt9Z8U8JphB62r?id=0x8c05e1975cb0747da3d8e7eebbc1d84eaad56d05&label=CryptoKaduna&icon=%F0%9F%8D%94&tab=wallet&actionType=2"
"CryptoNinjaah","https://zapper.xyz/bundle/3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,0xd4bb7351a9b0d1b236e7523da7a972db4a100f08,0x30615450f0de4188f9635dd3cf1f5648edf638b8,0x88529d2289d47e9339938f25f2e56a33c91671cb,3gxDtXUegwou8DLKBTY77859934XEN2DGKJV3vH4krFX,kLw1WqvZqxP4hGyB83zMSDXqJbbKtcSYCLtGfYadXM1,0x9aa0c1e7cdcd1bbe6e5300debb28f377f4488b20,0x691c88954e2168f45873df6769b30e1102abe821,0xf0ecd31adfeac91490ed949213d64955ff52455c,0x2353c03b94fe16fc0dae93325339a9a52876b24a?id=0xc6cdfe7f4b03169a1cbb66b7366a2da3c40d1884&label=Ninjaah&icon=%F0%9F%A4%91&tab=wallet"
"Buyingyourstop","https://zapper.xyz/bundle/0x50f27cdb650879a41fb07038bf2b818845c20e17,CxKFkAu8LngjYmcCjT2siKyAiMrKjbTB96NRXg8jqHH6,0x1eafa03e4160c2b578f895e9c3328c373934defe?id=0x0c805158144a1698066e715c7cb13ee1becf8eac&label=Buyingyourstop%20&icon=%F0%9F%98%8E&tab=wallet"
"0xLyuu","https://zapper.xyz/bundle/0x096ea0499fd9f2d036bc1bd834afde011d320000,9hHeLJqxAcTK8ZZdQQv7TF5rDn9gXQKGPo6J9FuQkgXC?id=QnVuZGxlLTEyNzk%3D&label=0xLyuuu&icon=%F0%9F%8D%80&tab=wallet"
"Crypto Andrew","https://zapper.xyz/bundle/A3r2KqUHAuNbJXERLGzkFQsrGzEy9aC5mbK4pdEZCxze,0xe5a497f1de66b73121e0bfbcb9ffa05bc6bd9d95,0x672c4fb32d4044177e1de42d14a58cca98fccccc?id=0x28363e0801f6551f821dd9ca7995bdc2128c2c16&label=crypto%20andrew&icon=%F0%9F%8F%9D%EF%B8%8F&tab=wallet"
"Gem Trader 07 (Conviction Hold + PEPE Chad) | REPPO","https://zapper.xyz/bundle/0xa207e7fc9ea6ab628115fdb64b50a298fb046ebd,DTxWNSCoUKvdRNtgXmJipEEC5AQWEB1TMnWtosRH4w75?label=Gem%20Trader%2007%20%28Conviction%20Hold%20%2B%20PEPE%20Chad%29%20%7C%20REPPO&id=0x644e5f4c3d47c16c3964cec8b53c1ac127ed31af&tab=wallet"
"Avocado_Toast","https://zapper.xyz/bundle/0x3ba5989bfa0a0514e148dfb07bc00a13a4d4c883,0xd4487f268e7a39da0925c161b0c966a8c9ccba2a,0x23936f366d9a4b542de354969ef146db9cf33737,0x0b02127fefe3151a3edfa486cb9e4eae6bd826bb,0x7bbb1c16e8904e6d9322081114db6ea58d4a74d4,0x5e3b50666e649056b86956e98b45ecb98f75ee9f,0x7d36dfc0449861d1d19bde7146bacc04bc32beea,0x63075b7b5f4976910f121bbeb135327f49f529fa,0x6bfeda232e9237eed071ca27bced1c0ceb978a3c,0xab66c53fce4f6cdc06c4338c2def8ed19a74f491,0xc6ded01cd129d188a9d91006bb8b87bb60f3f96d,0x12185d2d197edf396ffae0afc9d193aa7422fa3c,0x4c49a05296db6259a9fd4e4eb863d9f76d04c367,0x583ae442a93b098bbc0556a5e4d892c66aea6b47,4653zACRFWxdP8Bu5yMp3ztucdVGM9LSgqFLxdCHN9MU,7cwd4K57SGAJP19pWE5iB3amJxffdZgNzLTC71cvUmSU,CcTMq5wKfCPtXtxb5fscsX55fc6UrksvdT4mpoCAhKkk,x5tMEhAxqpd62VyhYSYVjt4P8Vr7LsP2YyVRc5EtZT3?label=Avocado_toast&id=0x2169e99c0b053f7ab5406cc3980708ee90f0b019&tab=wallet"
"Game for one (bogus)","https://zapper.xyz/bundle/0xf4b1b800207680d5cb507c309c9991b8aa965650,0x4644de3460cc495e98b3ff0a28274ceddf097e3a,0x33d35d84372a97da6bbd32d101bdcc48074cc102,0x8b950dd16b00a805c58f339ce47a78d2d668542d,0x9623aa85262b1312be346a92e9e850f3a9d55177,0x9678c0bfe658246b3243d1f086ea7f8185900687,0x9d4c373276e191e86989c8759eea80bea9ed1f7d,0x8045d686f71592e2e5682ea68a5465af23b758c9?label=game%20for%20one&id=0xc212be71bf3078ae18fd299f19d453f18506e1e6&tab=wallet"
"Game for one","https://zapper.xyz/bundle/4WH9bN3VDzUa4kHAXxMCUvsqdpprvYXP3DejZdunTCKw,CVwgerQ71FExtdu9a71wTUgcA5CADWhVUFH7sWP9gpVz,DhUFXgRCBLJuEg4WA2ou9GjLuNtcXWPGPNTd6pxiJZXL,0xb027fd50606e9206bc121b06794ef932cd852d14,0x500b4ca6db1555105ee20ded697d2caa628b3398,0x6825411cd6c44fabf5dfa623b03863b34d1697f5,ENkZtLj1onzQRGnEeRkQfFzBeeY2dCeiQMXDzh8XbQbj,0xd4ba7169e9f89ffa94cbbb41b0df668eee25737d?label=GFO%20%28real%29&id=0x93d8caadafb72593df186e1374507f7b2f62d8c1&tab=wallet"
"Chad + Conviction 🤓 | Curated by Octoshi Dream + Codec","https://zapper.xyz/bundle/D2sBRutX76resHFPH7GTBw8w46rNAgGkzzUprsaHDMdK,EpUyH8gvPdKeBWSZS44Kn31hmZtxgMA8gM6dog8hhXJT,QQQNKhxjgprwbscgH3jjMyGD5DAEqD9ufxS9bS9qddT,0xc2657c4ba058624c4a96434a6265e5bdf8046ec1,0xd24ff5e32de12be154b1c2ee7b731cbc45540e50,0xe164644e1e8bb14ba8aa19be1b78ec6cf22f7ca8,0xe2cea50ba5a302a691b93692e74786d6484db295,0xbc6a93cc98c8bbb25f3f8da098468406a8f99484,0x27713b555cfcb9d29d211d40ed083de40e164185?id=0x13eced0ce6dcb65695fceb4e6243d30d502e25b5&label=Chad%20%20%20Conviction%20%F0%9F%A4%93%20%7C%20Curated%20by%20Octoshi&icon=%F0%9F%98%8E&tab=wallet"
"Zinceth","https://zapper.xyz/bundle/0xca8323cb2b2cfd96963ecb34a7abc5ae172b37bb,3QxJ8PAcosnFQx7CGav6hSU8CnWXMjux34JUUHKz9BTK,HQdFfmiDrZGbxqE5k5CqDxUkLUHhCUS39YHqsRGsfzeH?tab=wallet"
"🛑 CriptoPaul 🤓","https://zapper.xyz/bundle/0x6259a1878e142315cd2d03ed93accad8c025f443,0xda88fe2e02ebdfa2e44bdcd4f99c4a770fa1d789,7YzAoBQMDFbMxxGZVBt1YZqARcF9oGkpUMVuMLpbGbGc?id=0x66fc5f5bc96e747d2ee7e1221f115ad825eea3ca&label=%F0%9F%9B%91%20CriptoPaul%20%F0%9F%A4%93&icon=%F0%9F%90%B8&tab=wallet"
"Tumilett","https://zapper.xyz/bundle/0x47d312c7604b1751f691011aed4ce32231bff4d1,EDYS2wCpov4Higk3Hqh7LmMeBgDWn5s8sbYByjdW18AK?id=0x185c1f6caa574d9e2bee62cf2872db6b6cd887e3&label=Tumilett&icon=%F0%9F%90%BB&tab=wallet"
"IT4L","https://zapper.xyz/bundle/HdxkiXqeN6qpK2YbG51W23QSWj3Yygc1eEk2zwmKJExp,3nDpQLNPfdqDJJY3AtNNVNHhyHiWiddM1Ss2k9zBV4hf,0xe457e79f8b9050d8ad346d79fac7ef502d54fa98,0xf86fd8a091ab51c70807efff8e86631d6d73f274,97LZrjd6qcsoMoDo1TMHh5AjwiPAFTQLJL2qetC3ddgd,A4nTzSw1oZKK846zGv8diWw6dGXqnGPJwbxyJ85WM4Sg,0xfefea9427bef554cc572bc4e887a0b9642fd8f4e,AAd8KdxK2DhxcdfpRGNCuJP96K6nL9USFSLZ7yYXWcHS,6FJPtnqLNa4qo3XZnQBjstoeKPNMGnU8VtoTBvLLMWET,2NCTbbnUfXNABUwqB2vEMkD3EJQcvQprHDQJQ1Bijvaz?id=0x086a8f2cd8303dcd2513d0e3bdea0c5cd07db5b2&label=IT4L&icon=%F0%9F%9A%80&tab=wallet"
